avalanche.id;date;date.quality;hydrological.year;canton;local.name;start.zone.coordinates.x;start.zone.coordinates.y;coordinates.quality;start.zone.elevation;start.zone.slope.aspect;start.zone.inclination;forecasted.dangerlevel;number.dead;number.caught;number.fully.buried;activity
20293;26.02.2000;0;1999/00;BE;Elsighorn / Achsetberg;7.6363712557972026;46.532625135180695;25;2190;NW;50;2;1;2;1;offpiste
20298;01.03.2000;0;1999/00;GR;Pischahorn;9.94704779365516;46.8138166358539;25;2970;W;38;2;1;1;1;tour
20313;18.04.2000;0;1999/00;VS;Plattjen / Mittaghorn;7.934579793730382;46.08885107289649;25;2580;NNW;38;3;1;6;1;transportation.corridor
20319;24.04.2000;0;1999/00;VS;Cabane du Velan;7.248529619541004;45.92026175065876;25;2415;NNW;35;3;1;3;2;tour
20326;10.09.2000;0;1999/00;VS;Nesthorn;7.9262314150337145;46.41336742169573;25;3800;NE;47;NA;2;2;0;tour
20401;11.11.2000;0;2000/01;UR;Gemsstock;8.60850398237609;46.60351859480673;25;2840;WNW;43;3;1;3;1;offpiste
20403;12.11.2000;0;2000/01;VS;Pte des Grands / Glacier des Berons;6.990244555205421;46.00610996256807;25;2920;N;42;3;1;2;1;offpiste
20431;13.01.2001;0;2000/01;GR;Piz Padella / Samedan;9.832736891073303;46.53079757800994;25;2800;S;39;2;1;1;1;tour
20432;13.01.2001;0;2000/01;VS;;7.621444051062887;46.242359774046186;25;2560;WNW;41;2;1;1;1;offpiste
20439;16.01.2001;0;2000/01;VS;;8.161640480401594;46.47148413966462;25;2990;SE;42;2;1;1;1;tour
20446;28.01.2001;0;2000/01;BE;Stierenberg;7.276725954994695;46.36581228389254;25;2000;N;36;3;1;3;1;tour
20454;03.02.2001;0;2000/01;VS;;7.61868354897037;46.11291563635051;250;2500;NE;NA;2;1;5;1;tour
20455;03.02.2001;0;2000/01;VS;;7.608980451172646;46.11212099733156;250;3000;E;NA;2;2;8;3;tour
20459;04.02.2001;0;2000/01;GR;Clis da Ravaisch;10.362509652646304;46.95120325171176;25;2060;SSE;NA;3;1;1;1;transportation.corridor
20463;04.02.2001;0;2000/01;SZ;Forstberg;8.824993762715343;47.00297532849421;25;1980;N;39;4;1;1;1;tour
20464;04.02.2001;0;2000/01;VS;Rindersattel / Rinderhorn;7.645858028140161;46.42331154962547;25;2800;SW;37;3;1;2;2;tour
20470;06.02.2001;0;2000/01;VS;;6.963727936282464;46.03447234582514;25;2180;N;43;3;3;5;4;offpiste
20482;11.02.2001;0;2000/01;TI;Alpe Nuova / Pizzo Rotondo;8.470837666728;46.50665523823669;25;2540;SSE;40;2;3;3;3;tour
20490;22.02.2001;0;2000/01;GR;Salinas / Alp Sadra;10.345466565472659;46.599943636488184;100;2300;NE;33;2;2;7;3;tour
20492;23.02.2001;0;2000/01;VS;Ernergalen / Lowigraben;8.188059491391822;46.4046967134939;25;2220;NNW;43;3;1;2;0;offpiste
20494;24.02.2001;0;2000/01;SZ;;8.763252434949866;47.0136909497898;25;1660;N;38;4;1;2;1;offpiste
20500;27.02.2001;0;2000/01;GR;;9.629385163966191;46.74835783753847;25;2380;N;42;3;1;2;1;offpiste
